dataset,noise_std,count_fake,count_real,mean_similarity_fake,mean_similarity_real,std_similarity_fake,std_similarity_real,gap_mean_real_minus_fake,se_gap,welch_t,welch_df,cohens_d
progan,0.05,4000,4000,0.9083082423061132,0.9269496064037084,0.0316918810793796,0.0299933208617953,0.018641364097595203,0.0006899229345854766,27.019487486374707,7973.852633596472,0.6041741073673877
progan,0.1,4000,4000,0.8607943696677685,0.8729908491820096,0.0430744801238951,0.047632711325963,0.012196479514241187,0.0010154169126775413,12.011302315302618,7918.417608029436,0.26858088475317266
stable_diffusion_v_1_4,0.03,6000,6000,0.9608264690935612,0.9540477296710016,0.0178837875696274,0.0227616139327305,-0.0067787394225595765,0.0003737024053660503,-18.139405380384538,11361.906931753665,-0.331178716885573
stable_diffusion_v_1_4,0.05,6000,6000,0.9414528254270552,0.9311515669723353,0.0255117576751407,0.0297967037939861,-0.010301258454719964,0.0005064078291689493,-20.341823055194567,11719.96713577427,-0.3713891782702906
stable_diffusion_v_1_4,0.1,6000,6000,0.901567234804233,0.8796242105960846,0.0395389812846481,0.0466910932341531,-0.02194302420814831,0.0007898722711540276,-27.78047161484588,11680.94533395317,-0.5071996987194352
stable_diffusion_v_1_5,0.03,8000,8000,0.9607560804113746,0.9541784127727152,0.0183310179748431,0.0220740719986602,-0.006577667638659412,0.0003207980039284953,-20.504079071905792,15475.760468798971,-0.3241979559570684
stable_diffusion_v_1_5,0.05,8000,8000,0.9415976938679814,0.9309872680529953,0.0258811076707662,0.0298671700206152,-0.010610425814986169,0.00044185398879411064,-24.013420912966517,15680.591586431503,-0.3796855224864709
stable_diffusion_v_1_5,0.1,8000,8000,0.900904799632728,0.8787838427498936,0.0405589837328112,0.048487310406702,-0.02212095688283433,0.0007067575991733583,-31.299213349396688,15513.77161352198,-0.49488401577820534
stargan,0.03,1999,1999,0.9410971799392948,0.9313730254001532,0.0189144606814979,0.0207710790358965,-0.00972415453914155,0.0006283268822270451,-15.476266914882274,3961.4698815818556,-0.48952492781078444
stargan,0.05,1999,1999,0.924909183566364,0.9128420036276798,0.0228913333521027,0.0253605228079678,-0.012067179938684225,0.0007641181637347374,-15.79229563095863,3954.790938379254,-0.4995211326626566
stargan,0.1,1999,1999,0.8900213084440342,0.8695955083273601,0.0295635352345244,0.0352858539194236,-0.020425800116674053,0.0010296004515042729,-19.838569502209747,3877.1051735748833,-0.6275075479668626
stylegan,0.03,5991,5991,0.9364933494215436,0.934378849705916,0.0237750233182697,0.0311762313810004,-0.0021144997156276046,0.0005065435839306317,-4.174368766493296,11196.267587950451,-0.07627042217557109
stylegan,0.05,5991,5991,0.9139796021664766,0.9107925958534728,0.0295520850943639,0.0385832171582998,-0.0031870063130037263,0.0006278984376129439,-5.075671672507482,11218.602787696658,-0.09273824210119756
stylegan,0.1,5991,5991,0.8590478479832366,0.8508504135066252,0.0412498845392366,0.055360269234063,-0.008197434476611476,0.0008919522215397228,-9.190441235137847,11074.126162822879,-0.16791971964963348
stylegan2,0.03,7988,7988,0.933745552531528,0.9436620321492284,0.025284056253877,0.0238208959032448,0.009916479617700369,0.00038867264171656537,25.513706274525585,15917.571404860382,0.403710013038608
stylegan2,0.05,7988,7988,0.9121231202355132,0.9242690165504314,0.0290962542492632,0.0288024557242799,0.012145896314918136,0.0004580790740067955,26.514846462377267,15972.354991949951,0.41955131472728596
stylegan2,0.1,7988,7988,0.8564348284772592,0.8726134243597075,0.0369856423548144,0.0434329526124195,0.0161785958824483,0.000638283634543495,25.347032270409606,15578.572550854284,0.4010726869029675
whichfaceisreal,0.03,1000,1000,0.9507941059470176,0.9493348608016968,0.0178367771335183,0.020655204325625,-0.0014592451453208088,0.0008630110568492845,-1.6908765348248025,1956.4887237403548,-0.07561829746855098
whichfaceisreal,0.05,1000,1000,0.929136573791504,0.9262627687454223,0.0245864226801364,0.0260353067006415,-0.002873805046081701,0.0011323998300965935,-2.537800668723666,1991.4849306440112,-0.11349389617221083
whichfaceisreal,0.1,1000,1000,0.8937274837493896,0.8853392232656478,0.0319261686187907,0.0349707496976692,-0.00838826048374175,0.001497408954525278,-5.601850088041627,1981.6494472558745,-0.2505223519324852
wukong,0.03,6000,6000,0.9650865031083424,0.9539611587027708,0.0161666277610582,0.0227637073651406,-0.011125344405571669,0.0003604502337749217,-30.865133000631484,10823.229934286737,-0.5635176528280993
wukong,0.05,6000,6000,0.9474934623340766,0.930867360085249,0.0223072514320138,0.0301127643356581,-0.016626102248827657,0.00048380299750793267,-34.3654386898565,11059.25758682535,-0.6274241989665063
wukong,0.1,6000,6000,0.9090731685360272,0.878638871461153,0.0360388047680103,0.0474849966945052,-0.030434297074874106,0.0007695908393624858,-39.546075028758516,11188.229659408626,-0.7220092451347601
