dataset,parameter,noise_std,image_type,count,mean_similarity,std_similarity,source_csv
stylegan2,Noise STD,0.1,Real,7988,0.8726134243597075,0.0434329526124195,stylegan2/noise_cosine_similarity_stylegan2_0.1.csv
whichfaceisreal,Noise STD,0.03,Fake,1000,0.9507941059470176,0.0178367771335183,whichfaceisreal/noise_cosine_similarity_whichfaceisreal_0.03.csv
whichfaceisreal,Noise STD,0.03,Real,1000,0.9493348608016968,0.020655204325625,whichfaceisreal/noise_cosine_similarity_whichfaceisreal_0.03.csv
whichfaceisreal,Noise STD,0.05,Fake,1000,0.929136573791504,0.0245864226801364,whichfaceisreal/noise_cosine_similarity_whichfaceisreal_0.05.csv
whichfaceisreal,Noise STD,0.05,Real,1000,0.9262627687454223,0.0260353067006415,whichfaceisreal/noise_cosine_similarity_whichfaceisreal_0.05.csv
whichfaceisreal,Noise STD,0.1,Fake,1000,0.8937274837493896,0.0319261686187907,whichfaceisreal/noise_cosine_similarity_whichfaceisreal_0.1.csv
whichfaceisreal,Noise STD,0.1,Real,1000,0.8853392232656478,0.0349707496976692,whichfaceisreal/noise_cosine_similarity_whichfaceisreal_0.1.csv
wukong,Noise STD,0.03,Fake,6000,0.9650865031083424,0.0161666277610582,wukong/noise_cosine_similarity_wukong_0.03.csv
wukong,Noise STD,0.03,Real,6000,0.9539611587027708,0.0227637073651406,wukong/noise_cosine_similarity_wukong_0.03.csv
wukong,Noise STD,0.05,Fake,6000,0.9474934623340766,0.0223072514320138,wukong/noise_cosine_similarity_wukong_0.05.csv
wukong,Noise STD,0.05,Real,6000,0.930867360085249,0.0301127643356581,wukong/noise_cosine_similarity_wukong_0.05.csv
wukong,Noise STD,0.1,Fake,6000,0.9090731685360272,0.0360388047680103,wukong/noise_cosine_similarity_wukong_0.1.csv
wukong,Noise STD,0.1,Real,6000,0.878638871461153,0.0474849966945052,wukong/noise_cosine_similarity_wukong_0.1.csv
